% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	8.52254e-13	1796.71	0
0.000214285	1	2	0	2.63113e-12	5546.92	0
0.000214285	1	3	0	2.63113e-12	5546.92	0
0.000214285	1	4	0	2.63113e-12	5546.92	0
0.00121428	1	1	0	8.52234e-13	1796.83	0
0.00121428	1	2	0	2.63114e-12	5547.41	0
0.00121428	1	3	0	2.63114e-12	5547.41	0
0.00121428	1	4	0	2.63114e-12	5547.41	0
0.00221428	1	1	0	8.52213e-13	1796.78	0
0.00221428	1	2	0	2.63114e-12	5547.41	0
0.00221428	1	3	0	2.63114e-12	5547.41	0
0.00221428	1	4	0	2.63114e-12	5547.41	0
0.00321428	1	1	0	8.52193e-13	1796.74	0
0.00321428	1	2	0	2.63114e-12	5547.41	0
0.00321428	1	3	0	2.63114e-12	5547.41	0
0.00321428	1	4	0	2.63114e-12	5547.41	0
0.00421428	1	1	0	8.52172e-13	1796.7	0
0.00421428	1	2	0	2.63114e-12	5547.41	0
0.00421428	1	3	0	2.63114e-12	5547.41	0
0.00421428	1	4	0	2.63114e-12	5547.41	0
0.00521428	1	1	0	8.52152e-13	1796.65	0
0.00521428	1	2	0	2.63114e-12	5547.41	0
0.00521428	1	3	0	2.63114e-12	5547.41	0
0.00521428	1	4	0	2.63114e-12	5547.41	0
0.00621428	1	1	0	8.52131e-13	1796.61	0
0.00621428	1	2	0	2.63114e-12	5547.41	0
0.00621428	1	3	0	2.63114e-12	5547.41	0
0.00621428	1	4	0	2.63114e-12	5547.41	0
0.00721428	1	1	0	8.5211e-13	1796.56	0
0.00721428	1	2	0	2.63114e-12	5547.41	0
0.00721428	1	3	0	2.63114e-12	5547.41	0
0.00721428	1	4	0	2.63114e-12	5547.41	0
0.00821428	1	1	0	8.5209e-13	1796.52	0
0.00821428	1	2	0	2.63114e-12	5547.41	0
0.00821428	1	3	0	2.63114e-12	5547.41	0
0.00821428	1	4	0	2.63114e-12	5547.41	0
0.00921428	1	1	0	8.52069e-13	1796.48	0
0.00921428	1	2	0	2.63114e-12	5547.41	0
0.00921428	1	3	0	2.63114e-12	5547.41	0
0.00921428	1	4	0	2.63114e-12	5547.41	0
0.0102143	1	1	0	8.52049e-13	1796.43	0
0.0102143	1	2	0	2.63114e-12	5547.41	0
0.0102143	1	3	0	2.63114e-12	5547.41	0
0.0102143	1	4	0	2.63114e-12	5547.41	0
0.0112143	1	1	0	8.52028e-13	1796.39	0
0.0112143	1	2	0	2.63114e-12	5547.41	0
0.0112143	1	3	0	2.63114e-12	5547.41	0
0.0112143	1	4	0	2.63114e-12	5547.41	0
0.0122143	1	1	0	8.52007e-13	1796.35	0
0.0122143	1	2	0	2.63114e-12	5547.41	0
0.0122143	1	3	0	2.63114e-12	5547.41	0
0.0122143	1	4	0	2.63114e-12	5547.41	0
0.0132143	1	1	0	8.51987e-13	1796.3	0
0.0132143	1	2	0	2.63114e-12	5547.41	0
0.0132143	1	3	0	2.63114e-12	5547.41	0
0.0132143	1	4	0	2.63114e-12	5547.41	0
0.0142143	1	1	0	8.51966e-13	1796.26	0
0.0142143	1	2	0	2.63114e-12	5547.41	0
0.0142143	1	3	0	2.63114e-12	5547.41	0
0.0142143	1	4	0	2.63114e-12	5547.41	0
0.0152143	1	1	0	8.51945e-13	1796.22	0
0.0152143	1	2	0	2.63114e-12	5547.41	0
0.0152143	1	3	0	2.63114e-12	5547.41	0
0.0152143	1	4	0	2.63114e-12	5547.41	0
0.0162143	1	1	0	8.51925e-13	1796.17	0
0.0162143	1	2	0	2.63114e-12	5547.41	0
0.0162143	1	3	0	2.63114e-12	5547.41	0
0.0162143	1	4	0	2.63114e-12	5547.41	0
0.0172143	1	1	0	8.51904e-13	1796.13	0
0.0172143	1	2	0	2.63114e-12	5547.41	0
0.0172143	1	3	0	2.63114e-12	5547.41	0
0.0172143	1	4	0	2.63114e-12	5547.41	0
0.0182143	1	1	0	8.51884e-13	1796.09	0
0.0182143	1	2	0	2.63114e-12	5547.41	0
0.0182143	1	3	0	2.63114e-12	5547.41	0
0.0182143	1	4	0	2.63114e-12	5547.41	0
0.0192143	1	1	0	8.51863e-13	1796.04	0
0.0192143	1	2	0	2.63114e-12	5547.41	0
0.0192143	1	3	0	2.63114e-12	5547.41	0
0.0192143	1	4	0	2.63114e-12	5547.41	0
0.0202143	1	1	0	8.51842e-13	1796	0
0.0202143	1	2	0	2.63114e-12	5547.41	0
0.0202143	1	3	0	2.63114e-12	5547.41	0
0.0202143	1	4	0	2.63114e-12	5547.41	0
0.0212143	1	1	2	8.51822e-13	1795.96	0
0.0212143	1	2	4	2.63114e-12	5547.41	0
0.0212143	1	3	1	2.63114e-12	5547.41	0
0.0212143	1	4	3	2.63114e-12	5547.41	0
0.0222143	1	1	2	8.51801e-13	1795.91	0
0.0222143	1	2	4	2.63114e-12	5547.41	0
0.0222143	1	3	1	2.63114e-12	5547.41	0
0.0222143	1	4	3	2.63114e-12	5547.41	0
0.0232143	1	1	2	8.51781e-13	1795.87	0
0.0232143	1	2	4	2.63114e-12	5547.41	0
0.0232143	1	3	1	2.63114e-12	5547.41	0
0.0232143	1	4	3	2.63114e-12	5547.41	0
0.0242143	1	1	2	8.5176e-13	1795.83	0
0.0242143	1	2	4	2.63114e-12	5547.41	0
0.0242143	1	3	1	2.63114e-12	5547.41	0
0.0242143	1	4	3	2.63114e-12	5547.41	0
0.0252143	1	1	2	8.51739e-13	1795.78	0
0.0252143	1	2	4	2.63114e-12	5547.41	0
0.0252143	1	3	1	2.63114e-12	5547.41	0
0.0252143	1	4	3	2.63114e-12	5547.41	0
0.0262143	1	1	2	8.51719e-13	1795.74	0
0.0262143	1	2	4	2.63114e-12	5547.41	0
0.0262143	1	3	1	2.63114e-12	5547.41	0
0.0262143	1	4	3	2.63114e-12	5547.41	0
0.0272143	1	1	2	8.51698e-13	1795.7	0
0.0272143	1	2	4	2.63114e-12	5547.41	0
0.0272143	1	3	1	2.63114e-12	5547.41	0
0.0272143	1	4	3	2.63114e-12	5547.41	0
0.0282143	1	1	2	8.51678e-13	1795.65	0
0.0282143	1	2	4	2.63114e-12	5547.41	0
0.0282143	1	3	1	2.63114e-12	5547.41	0
0.0282143	1	4	3	2.63114e-12	5547.41	0
0.0292143	1	1	2	8.51657e-13	1795.61	0
0.0292143	1	2	4	2.63114e-12	5547.41	0
0.0292143	1	3	1	2.63114e-12	5547.41	0
0.0292143	1	4	3	2.63114e-12	5547.41	0
0.0302143	1	1	2	8.51636e-13	1795.57	0
0.0302143	1	2	4	2.63114e-12	5547.41	0
