Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	bwpId
0.103571	DL	10	3	1	1	1	1	1	323	0	0	17.6482	0	0	0
0.107964	UL	10	7	1	12	1	1	1	323	0	0	-20.7856	1	1	0
0.107964	UL	10	7	1	12	1	1	1	323	0	0	-20.7856	1	1	0
0.110464	UL	11	0	0	12	1	1	1	323	0	1	-20.7017	1	1	0
0.110464	UL	11	0	0	12	1	1	1	323	0	1	-20.7017	1	1	0
0.112964	UL	11	2	1	12	1	1	1	323	0	2	-20.4833	1	1	0
0.112964	UL	11	2	1	12	1	1	1	323	0	2	-20.4833	1	1	0
0.115464	UL	11	5	0	12	1	1	1	323	0	3	-20.4572	1	1	0
0.115464	UL	11	5	0	12	1	1	1	323	0	3	-20.4572	1	1	0
3.10357	DL	310	3	1	1	1	1	1	323	0	0	22.6332	0	0	0
3.10796	UL	310	7	1	12	1	1	1	323	0	0	-15.0021	1	1	0
3.10796	UL	310	7	1	12	1	1	1	323	0	0	-15.0021	1	1	0
3.11046	UL	311	0	0	12	1	1	1	323	0	1	-14.677	1	1	0
3.11046	UL	311	0	0	12	1	1	1	323	0	1	-14.677	1	1	0
3.11296	UL	311	2	1	12	1	1	1	323	0	2	-14.3257	1	1	0
3.11296	UL	311	2	1	12	1	1	1	323	0	2	-14.3257	1	1	0
3.11546	UL	311	5	0	12	1	1	1	323	0	3	-14.3833	1	1	0
3.11546	UL	311	5	0	12	1	1	1	323	0	3	-14.3833	1	1	0
9.10357	DL	910	3	1	1	1	1	1	323	0	0	48.3828	0	0	0
9.10796	UL	910	7	1	12	1	1	1	323	0	0	10.2861	0	0	0
9.10796	UL	910	7	1	12	1	1	1	323	0	0	10.2861	0	0	0
9.21357	DL	921	3	1	1	1	1	1	7574	28	0	47.5454	0	0	0
9.21407	DL	921	4	0	1	1	1	1	7574	28	0	47.6462	0	0	0
9.21457	DL	921	4	1	1	1	1	1	7574	28	0	47.6265	0	0	0
9.21507	DL	921	5	0	1	1	1	1	7574	28	0	47.6915	0	0	0
9.21557	DL	921	5	1	1	1	1	1	7574	28	0	47.7104	0	0	0
9.21607	DL	921	6	0	1	1	1	1	7574	28	0	47.7777	0	0	0
9.21657	DL	921	6	1	1	1	1	1	7574	28	0	47.7792	0	0	0
9.21707	DL	921	7	0	1	1	1	1	7574	28	0	47.7834	0	0	0
9.21757	DL	921	7	1	1	1	1	1	7574	28	0	47.7817	0	0	0
9.21807	DL	921	8	0	1	1	1	1	7574	28	0	47.8269	0	0	0
9.21846	UL	921	8	0	12	1	1	1	1793	10	0	9.79791	0	0	0
9.21846	UL	921	8	0	12	1	1	1	1793	10	0	9.79791	0	0	0
9.22196	UL	922	1	1	12	1	1	1	1603	8	0	9.64506	0	0	0
9.22196	UL	922	1	1	12	1	1	1	1603	8	0	9.64506	0	0	0
9.22457	DL	922	4	1	1	1	1	1	7574	28	0	47.8599	0	0	0
9.22507	DL	922	5	0	1	1	1	1	7574	28	0	47.9951	0	0	0
9.22557	DL	922	5	1	1	1	1	1	7574	28	0	48.0429	0	0	0
9.22607	DL	922	6	0	1	1	1	1	7574	28	0	47.96	0	0	0
9.22657	DL	922	6	1	1	1	1	1	7574	28	0	47.8668	0	0	0
9.22707	DL	922	7	0	1	1	1	1	7574	28	0	47.9363	0	0	0
9.22757	DL	922	7	1	1	1	1	1	7574	28	0	47.9434	0	0	0
9.22807	DL	922	8	0	1	1	1	1	7574	28	0	47.9404	0	0	0
9.22857	DL	922	8	1	1	1	1	1	7574	28	0	47.8735	0	0	0
9.22896	UL	922	8	1	12	1	1	1	1603	8	0	9.97267	0	0	0
9.22896	UL	922	8	1	12	1	1	1	1603	8	0	9.97267	0	0	0
9.22907	DL	922	9	0	1	1	1	1	7574	28	0	47.9809	0	0	0
9.22957	DL	922	9	1	1	1	1	1	7574	28	0	48.0183	0	0	0
9.23007	DL	923	0	0	1	1	1	1	7574	28	0	47.9534	0	0	0
9.23057	DL	923	0	1	1	1	1	1	7574	28	0	48.0057	0	0	0
9.23246	UL	923	2	0	12	1	1	1	1603	8	0	10.0249	0	0	0
9.23246	UL	923	2	0	12	1	1	1	1603	8	0	10.0249	0	0	0
9.23507	DL	923	5	0	1	1	1	1	7574	28	0	47.9553	0	0	0
9.23557	DL	923	5	1	1	1	1	1	7574	28	0	47.8991	0	0	0
9.23607	DL	923	6	0	1	1	1	1	7574	28	0	47.844	0	0	0
9.23657	DL	923	6	1	1	1	1	1	7574	28	0	47.9167	0	0	0
9.23707	DL	923	7	0	1	1	1	1	7574	28	0	47.8574	0	0	0
9.23757	DL	923	7	1	1	1	1	1	7574	28	0	47.8175	0	0	0
9.23807	DL	923	8	0	1	1	1	1	7574	28	0	47.7432	0	0	0
9.23857	DL	923	8	1	1	1	1	1	7574	28	0	47.8391	0	0	0
9.23907	DL	923	9	0	1	1	1	1	7574	28	0	47.8488	0	0	0
9.23946	UL	923	9	0	12	1	1	1	1793	10	0	9.79524	0	0	0
9.23946	UL	923	9	0	12	1	1	1	1793	10	0	9.79524	0	0	0
9.23957	DL	923	9	1	1	1	1	1	7574	28	0	47.781	0	0	0
9.24007	DL	924	0	0	1	1	1	1	7574	28	0	47.7435	0	0	0
9.24057	DL	924	0	1	1	1	1	1	7574	28	0	47.6832	0	0	0
9.24107	DL	924	1	0	1	1	1	1	7574	28	0	47.7525	0	0	0
9.24157	DL	924	1	1	1	1	1	1	7574	28	0	47.8068	0	0	0
9.24207	DL	924	2	0	1	1	1	1	7574	28	0	47.6969	0	0	0
9.24257	DL	924	2	1	1	1	1	1	7574	28	0	47.747	0	0	0
9.24296	UL	924	2	1	12	1	1	1	1603	8	0	9.7868	0	0	0
9.24296	UL	924	2	1	12	1	1	1	1603	8	0	9.7868	0	0	0
9.24307	DL	924	3	0	1	1	1	1	7574	28	0	47.8017	0	0	0
9.24357	DL	924	3	1	1	1	1	1	7574	28	0	47.7493	0	0	0
9.24407	DL	924	4	0	1	1	1	1	7574	28	0	47.8056	0	0	0
9.24457	DL	924	4	1	1	1	1	1	7574	28	0	47.8016	0	0	0
9.24557	DL	924	5	1	1	1	1	1	7574	28	0	47.7916	0	0	0
9.24596	UL	924	5	1	12	1	1	1	1603	8	0	9.86924	0	0	0
9.24596	UL	924	5	1	12	1	1	1	1603	8	0	9.86924	0	0	0
9.24607	DL	924	6	0	1	1	1	1	7574	28	0	47.8825	0	0	0
9.24657	DL	924	6	1	1	1	1	1	7574	28	0	47.9174	0	0	0
9.24707	DL	924	7	0	1	1	1	1	7574	28	0	48.0269	0	0	0
9.24757	DL	924	7	1	1	1	1	1	7574	28	0	48.1071	0	0	0
9.24807	DL	924	8	0	1	1	1	1	7574	28	0	47.9936	0	0	0
9.24857	DL	924	8	1	1	1	1	1	7574	28	0	47.9629	0	0	0
9.24896	UL	924	8	1	12	1	1	1	1603	8	0	9.95208	0	0	0
9.24896	UL	924	8	1	12	1	1	1	1603	8	0	9.95208	0	0	0
9.24907	DL	924	9	0	1	1	1	1	7574	28	0	47.9085	0	0	0
9.24957	DL	924	9	1	1	1	1	1	7574	28	0	47.7853	0	0	0
9.25007	DL	925	0	0	1	1	1	1	7574	28	0	47.9024	0	0	0
