Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.103536	DL DCI Rxed	10	3	1	2	1	0	19	2
0.104964	HARQ FD Txed	10	4	1	2	1	0	19	2
3.10354	DL DCI Rxed	310	3	1	2	1	0	19	2
3.10496	HARQ FD Txed	310	4	1	2	1	0	19	2
9.10354	DL DCI Rxed	910	3	1	2	1	0	19	2
9.10496	HARQ FD Txed	910	4	1	2	1	0	19	2
9.21354	DL DCI Rxed	921	3	1	2	1	0	19	2
9.21404	DL DCI Rxed	921	4	0	2	1	0	18	2
9.21454	DL DCI Rxed	921	4	1	2	1	0	17	2
9.21496	HARQ FD Txed	921	4	1	2	1	0	19	2
9.21504	DL DCI Rxed	921	5	0	2	1	0	16	2
9.21546	HARQ FD Txed	921	5	0	2	1	0	18	2
9.21554	DL DCI Rxed	921	5	1	2	1	0	15	2
9.21596	HARQ FD Txed	921	5	1	2	1	0	17	2
9.21604	DL DCI Rxed	921	6	0	2	1	0	19	2
9.21646	HARQ FD Txed	921	6	0	2	1	0	16	2
9.21654	DL DCI Rxed	921	6	1	2	1	0	18	2
9.21696	HARQ FD Txed	921	6	1	2	1	0	15	2
9.21704	DL DCI Rxed	921	7	0	2	1	0	17	2
9.21746	HARQ FD Txed	921	7	0	2	1	0	19	2
9.21754	DL DCI Rxed	921	7	1	2	1	0	16	2
9.21796	HARQ FD Txed	921	7	1	2	1	0	18	2
9.21804	DL DCI Rxed	921	8	0	2	1	0	15	2
9.21846	HARQ FD Txed	921	8	0	2	1	0	17	2
9.21896	HARQ FD Txed	921	8	1	2	1	0	16	2
9.21946	HARQ FD Txed	921	9	0	2	1	0	15	2
9.22454	DL DCI Rxed	922	4	1	2	1	0	19	2
9.22504	DL DCI Rxed	922	5	0	2	1	0	18	2
9.22554	DL DCI Rxed	922	5	1	2	1	0	17	2
9.22596	HARQ FD Txed	922	5	1	2	1	0	19	2
9.22604	DL DCI Rxed	922	6	0	2	1	0	16	2
9.22646	HARQ FD Txed	922	6	0	2	1	0	18	2
9.22654	DL DCI Rxed	922	6	1	2	1	0	15	2
9.22696	HARQ FD Txed	922	6	1	2	1	0	17	2
9.22704	DL DCI Rxed	922	7	0	2	1	0	19	2
9.22746	HARQ FD Txed	922	7	0	2	1	0	16	2
9.22754	DL DCI Rxed	922	7	1	2	1	0	18	2
9.22796	HARQ FD Txed	922	7	1	2	1	0	15	2
9.22804	DL DCI Rxed	922	8	0	2	1	0	17	2
9.22846	HARQ FD Txed	922	8	0	2	1	0	19	2
9.22854	DL DCI Rxed	922	8	1	2	1	0	16	2
9.22896	HARQ FD Txed	922	8	1	2	1	0	18	2
9.22904	DL DCI Rxed	922	9	0	2	1	0	15	2
9.22946	HARQ FD Txed	922	9	0	2	1	0	17	2
9.22954	DL DCI Rxed	922	9	1	2	1	0	19	2
9.22996	HARQ FD Txed	922	9	1	2	1	0	16	2
9.23004	DL DCI Rxed	923	0	0	2	1	0	18	2
9.23046	HARQ FD Txed	923	0	0	2	1	0	15	2
9.23054	DL DCI Rxed	923	0	1	2	1	0	17	2
9.23096	HARQ FD Txed	923	0	1	2	1	0	19	2
9.23146	HARQ FD Txed	923	1	0	2	1	0	18	2
9.23196	HARQ FD Txed	923	1	1	2	1	0	17	2
9.23504	DL DCI Rxed	923	5	0	2	1	0	19	2
9.23554	DL DCI Rxed	923	5	1	2	1	0	18	2
9.23604	DL DCI Rxed	923	6	0	2	1	0	17	2
9.23646	HARQ FD Txed	923	6	0	2	1	0	19	2
9.23654	DL DCI Rxed	923	6	1	2	1	0	16	2
9.23696	HARQ FD Txed	923	6	1	2	1	0	18	2
9.23704	DL DCI Rxed	923	7	0	2	1	0	15	2
9.23746	HARQ FD Txed	923	7	0	2	1	0	17	2
9.23754	DL DCI Rxed	923	7	1	2	1	0	19	2
9.23796	HARQ FD Txed	923	7	1	2	1	0	16	2
9.23804	DL DCI Rxed	923	8	0	2	1	0	18	2
9.23846	HARQ FD Txed	923	8	0	2	1	0	15	2
9.23854	DL DCI Rxed	923	8	1	2	1	0	17	2
9.23896	HARQ FD Txed	923	8	1	2	1	0	19	2
9.23904	DL DCI Rxed	923	9	0	2	1	0	16	2
9.23946	HARQ FD Txed	923	9	0	2	1	0	18	2
9.23954	DL DCI Rxed	923	9	1	2	1	0	15	2
9.23996	HARQ FD Txed	923	9	1	2	1	0	17	2
9.24004	DL DCI Rxed	924	0	0	2	1	0	19	2
9.24046	HARQ FD Txed	924	0	0	2	1	0	16	2
9.24054	DL DCI Rxed	924	0	1	2	1	0	18	2
9.24096	HARQ FD Txed	924	0	1	2	1	0	15	2
9.24104	DL DCI Rxed	924	1	0	2	1	0	17	2
9.24146	HARQ FD Txed	924	1	0	2	1	0	19	2
9.24154	DL DCI Rxed	924	1	1	2	1	0	16	2
9.24196	HARQ FD Txed	924	1	1	2	1	0	18	2
9.24204	DL DCI Rxed	924	2	0	2	1	0	15	2
9.24246	HARQ FD Txed	924	2	0	2	1	0	17	2
9.24254	DL DCI Rxed	924	2	1	2	1	0	19	2
9.24296	HARQ FD Txed	924	2	1	2	1	0	16	2
9.24304	DL DCI Rxed	924	3	0	2	1	0	18	2
9.24346	HARQ FD Txed	924	3	0	2	1	0	15	2
9.24354	DL DCI Rxed	924	3	1	2	1	0	17	2
9.24396	HARQ FD Txed	924	3	1	2	1	0	19	2
9.24404	DL DCI Rxed	924	4	0	2	1	0	16	2
9.24446	HARQ FD Txed	924	4	0	2	1	0	18	2
9.24454	DL DCI Rxed	924	4	1	2	1	0	15	2
9.24496	HARQ FD Txed	924	4	1	2	1	0	17	2
9.24546	HARQ FD Txed	924	5	0	2	1	0	16	2
9.24554	DL DCI Rxed	924	5	1	2	1	0	19	2
9.24596	HARQ FD Txed	924	5	1	2	1	0	15	2
9.24604	DL DCI Rxed	924	6	0	2	1	0	18	2
9.24654	DL DCI Rxed	924	6	1	2	1	0	17	2
9.24696	HARQ FD Txed	924	6	1	2	1	0	19	2
9.24704	DL DCI Rxed	924	7	0	2	1	0	16	2
9.24746	HARQ FD Txed	924	7	0	2	1	0	18	2
9.24754	DL DCI Rxed	924	7	1	2	1	0	15	2
9.24796	HARQ FD Txed	924	7	1	2	1	0	17	2
9.24804	DL DCI Rxed	924	8	0	2	1	0	19	2
9.24846	HARQ FD Txed	924	8	0	2	1	0	16	2
9.24854	DL DCI Rxed	924	8	1	2	1	0	18	2
9.24896	HARQ FD Txed	924	8	1	2	1	0	15	2
9.24904	DL DCI Rxed	924	9	0	2	1	0	17	2
9.24946	HARQ FD Txed	924	9	0	2	1	0	19	2
9.24954	DL DCI Rxed	924	9	1	2	1	0	16	2
9.24996	HARQ FD Txed	924	9	1	2	1	0	18	2
9.25004	DL DCI Rxed	925	0	0	2	1	0	15	2
9.25046	HARQ FD Txed	925	0	0	2	1	0	17	2
9.25054	DL DCI Rxed	925	0	1	2	1	0	19	2
9.25096	HARQ FD Txed	925	0	1	2	1	0	16	2
9.25104	DL DCI Rxed	925	1	0	2	1	0	18	2
9.25146	HARQ FD Txed	925	1	0	2	1	0	15	2
9.25154	DL DCI Rxed	925	1	1	2	1	0	17	2
9.25196	HARQ FD Txed	925	1	1	2	1	0	19	2
9.25204	DL DCI Rxed	925	2	0	2	1	0	16	2
9.25246	HARQ FD Txed	925	2	0	2	1	0	18	2
9.25254	DL DCI Rxed	925	2	1	2	1	0	15	2
9.25296	HARQ FD Txed	925	2	1	2	1	0	17	2
9.25304	DL DCI Rxed	925	3	0	2	1	0	19	2
9.25346	HARQ FD Txed	925	3	0	2	1	0	16	2
9.25354	DL DCI Rxed	925	3	1	2	1	0	18	2
9.25396	HARQ FD Txed	925	3	1	2	1	0	15	2
9.25404	DL DCI Rxed	925	4	0	2	1	0	17	2
9.25446	HARQ FD Txed	925	4	0	2	1	0	19	2
9.25454	DL DCI Rxed	925	4	1	2	1	0	16	2
9.25496	HARQ FD Txed	925	4	1	2	1	0	18	2
9.25504	DL DCI Rxed	925	5	0	2	1	0	15	2
9.25546	HARQ FD Txed	925	5	0	2	1	0	17	2
9.25554	DL DCI Rxed	925	5	1	2	1	0	19	2
