% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	3	1	3354.36	0
0.042	1	1	2	1085.41	0
0.043	1	4	3	3354.36	0
0.044	1	2	4	3354.36	0
0.081	1	3	1	3354.36	0
0.082	1	1	2	1084.36	0
0.083	1	4	3	3354.36	0
0.084	1	2	4	3354.36	0
0.121	1	3	1	3354.36	0
0.122	1	1	2	1083.32	0
0.123	1	4	3	3354.36	0
0.124	1	2	4	3354.36	0
0.161	1	3	1	3354.36	0
0.162	1	1	2	1082.27	0
0.163	1	4	3	3354.36	0
0.164	1	2	4	3354.36	0
0.201	1	3	1	3354.36	0
0.202	1	1	2	1081.22	0
0.203	1	4	3	3354.36	0
0.204	1	2	4	3354.36	0
0.241	1	3	1	3354.36	0
0.242	1	1	2	1080.18	0
0.243	1	4	3	3354.36	0
0.244	1	2	4	3354.36	0
0.281	1	3	1	3354.36	0
0.282	1	1	2	1079.14	0
0.283	1	4	3	3354.36	0
0.284	1	2	4	3354.36	0
0.321	1	3	1	3354.36	0
0.322	1	1	2	1078.09	0
0.323	1	4	3	3354.36	0
0.324	1	2	4	3354.36	0
0.361	1	3	1	3354.36	0
0.362	1	1	2	1077.05	0
0.363	1	4	3	3354.36	0
0.364	1	2	4	3354.36	0
0.401	1	3	1	3354.36	0
0.402	1	1	2	1076.02	0
0.403	1	4	3	3354.36	0
0.404	1	2	4	3354.36	0
0.441	1	3	1	3354.36	0
0.442	1	1	2	1074.98	0
0.443	1	4	3	3354.36	0
0.444	1	2	4	3354.36	0
0.481	1	3	1	3354.36	0
0.482	1	1	2	1073.94	0
0.483	1	4	3	3354.36	0
0.484	1	2	4	3354.36	0
0.521	1	3	1	3354.36	0
0.522	1	1	2	1072.91	0
0.523	1	4	3	3354.36	0
0.524	1	2	4	3354.36	0
0.561	1	3	1	3354.36	0
0.562	1	1	2	1071.87	0
0.563	1	4	3	3354.36	0
0.564	1	2	4	3354.36	0
0.601	1	3	1	3354.36	0
0.602	1	1	2	1070.84	0
0.603	1	4	3	3354.36	0
0.604	1	2	4	3354.36	0
0.641	1	3	1	3354.36	0
0.642	1	1	2	1069.81	0
0.643	1	4	3	3354.36	0
0.644	1	2	4	3354.36	0
0.681	1	3	1	3354.36	0
0.682	1	1	2	1068.78	0
0.683	1	4	3	3354.36	0
0.684	1	2	4	3354.36	0
0.721	1	3	1	3354.36	0
0.722	1	1	2	1067.75	0
0.723	1	4	3	3354.36	0
0.724	1	2	4	3354.36	0
0.761	1	3	1	3354.36	0
0.762	1	1	2	1066.72	0
0.763	1	4	3	3354.36	0
0.764	1	2	4	3354.36	0
0.801	1	3	1	3354.36	0
0.802	1	1	2	1065.7	0
0.803	1	4	3	3354.36	0
0.804	1	2	4	3354.36	0
0.841	1	3	1	3354.36	0
0.842	1	1	2	1064.67	0
0.843	1	4	3	3354.36	0
0.844	1	2	4	3354.36	0
0.881	1	3	1	3354.36	0
0.882	1	1	2	1063.65	0
0.883	1	4	3	3354.36	0
0.884	1	2	4	3354.36	0
0.921	1	3	1	3354.36	0
0.922	1	1	2	1062.63	0
0.923	1	4	3	3354.36	0
0.924	1	2	4	3354.36	0
0.961	1	3	1	3354.36	0
0.962	1	1	2	1061.61	0
0.963	1	4	3	3354.36	0
0.964	1	2	4	3354.36	0
1.001	1	3	1	3354.36	0
1.002	1	1	2	1060.59	0
1.003	1	4	3	3354.36	0
1.004	1	2	4	3354.36	0
1.041	1	3	1	3354.36	0
1.042	1	1	2	1059.57	0
1.043	1	4	3	3354.36	0
1.044	1	2	4	3354.36	0
1.081	1	3	1	3354.36	0
1.082	1	1	2	1058.55	0
1.083	1	4	3	3354.36	0
1.084	1	2	4	3354.36	0
1.121	1	3	1	3354.36	0
1.122	1	1	2	1057.54	0
1.123	1	4	3	3354.36	0
1.124	1	2	4	3354.36	0
1.161	1	3	1	3354.36	0
1.162	1	1	2	1056.52	0
1.163	1	4	3	3354.36	0
1.164	1	2	4	3354.36	0
